request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,engine_config_hash
G|LP0001|ConsensusExact|step1|attempt_1,G-48400486800e11dedd52089933bdedbbf7f2f80c,G,target,LP0001,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,801859fa8e5dd6dac9a8ef1f519fa880d167ac348284a9cc12122dcfd578ec71,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,277748460,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0002|ConsensusExact|step1|attempt_1,G-cd2f4657b7aed766cf69ae13930f3c085766c9c8,G,target,LP0002,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,9989b9fc711a5a5f14c45285c1eae83c855c84200685cf6548d06d6184d34e67,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1376609304,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0003|ConsensusExact|step1|attempt_1,G-cb36fe0679955128cdc01dbe3df5c9022fd7538e,G,target,LP0003,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,07fbb847f79ee70ff29a7e0917e0be4c7fac669e7eeba0c92049a460900543a9,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,268651832,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0004|ConsensusExact|step1|attempt_1,G-ab8a2497d54e288a3386bc01e8706d11e596fbaa,G,target,LP0004,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,02041661b4cecabe081c640c989855d65d5e3b1d0cc9ea50b7510789c5c52595,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,744649148,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0005|ConsensusExact|step1|attempt_1,G-f6750aa4dbba8332d763fbe6ea225e711bd34e40,G,target,LP0005,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,c5fa6091c2cebfbe0f98995c82c14f20828c29a0d800222d68e4e62941760486,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1218746495,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0006|ConsensusExact|step1|attempt_1,G-14f75d3c25b4f6bf5cf2930cc8d4c92804a50155,G,target,LP0006,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,d97b2169be602a1f9e45e7d24366d00fd7b18af3724663cfcc8b4ed1d3864124,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1336127799,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0007|ConsensusExact|step1|attempt_1,G-f4558ef6b322137ccd11391553cb983eda877816,G,target,LP0007,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,c9e007cdc736b7e49342b6f3f5ff5f453f9e522c78f0f91051aa56ff27b71d49,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,466432365,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0008|ConsensusExact|step1|attempt_1,G-083d6f815539db6eec655cd543a5c1461aa9a916,G,target,LP0008,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,ed0083ca9efc9ffde1792747ba2c8c84ff2fdf8887f8a2dbc697e04f11cd467a,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1706343024,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0009|ConsensusExact|step1|attempt_1,G-ba1c5f26e1ef49f2f5a498b207b66b3afa30535b,G,target,LP0009,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,44abd842fcb4ba7b3e6616e2f84485dc2cf63c3cf54530740113b4e04e76ead5,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1445464130,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0010|ConsensusExact|step1|attempt_1,G-3fc0f4881298794b12c65b9b4efe66e77798ce73,G,target,LP0010,Consensus,consensus_exact_step1_estimate,1,google/gemma-4-31B-it,aee6d2f2c3452f95fec4cff9187163308cf174433116e58cafae07585e964e0a,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,303719004,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step1,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
