request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,engine_config_hash
G|LP0001|ConsensusExact|step3|attempt_1,G-5ad4f5a232224bb0406a2ed5df362b69c5285ac5,G,target,LP0001,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,1f6d7d9744156600f134bec9b38775e89bfd3012a6a8aa7cfd795b822ae3627a,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1741436661,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0002|ConsensusExact|step3|attempt_1,G-8c18a1134ef319e8354d32de031016ea036c7867,G,target,LP0002,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,adf016b16bc2dddb63310d7f54b5df1b6ad2e6902b0606b55fa5df68cb0c9edc,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1730436112,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0003|ConsensusExact|step3|attempt_1,G-0bf7921a1c06fee55b68a86c630a19fa3a407d1d,G,target,LP0003,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,8073a1425e2e2c26dbd8bf990fa3366f55fc608097d17a9b6772e9f108983f12,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,871768857,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0004|ConsensusExact|step3|attempt_1,G-ad2410c17615a9ee8992f1966f9c50f21ce46543,G,target,LP0004,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,275d9d63b391801914a626dd5f6d125c3e0cac6373930867917edcbb463b8025,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1348324211,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0005|ConsensusExact|step3|attempt_1,G-094d9e41d2bfdc5d7b030a98c31a7113787ce8b5,G,target,LP0005,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,6e87af373c5dfd19d75440229355532015c5912117654c836ea21759f8ebf965,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1700468960,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0006|ConsensusExact|step3|attempt_1,G-dd256bd429246852c82fdf2fa16a29cf57b01d69,G,target,LP0006,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,b986ca7c4c34572cd8ffead125ab73392370d96bbbd9b190b22266fe1a5432df,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1668235261,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0007|ConsensusExact|step3|attempt_1,G-14dfa66c76d4511ec8823f3a44e1bbcd997dd889,G,target,LP0007,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,1b37cd423f16d4beeb958be8e66b52caea9f66bbf41871fd1736d906bcc6df38,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,546545143,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0008|ConsensusExact|step3|attempt_1,G-da7c2a55b07428df09eeab90d405856fdd1aee98,G,target,LP0008,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,b56e9e4ca8ab34eed578f76d6168fc9a9c939deee4dc3ad9429e4ded372c2ab0,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1701608845,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0009|ConsensusExact|step3|attempt_1,G-000cb6fe87dfddf5dc7bd5d75d798a48626c0f9d,G,target,LP0009,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,0e0ac7c6d9f7288edf3c3c206a88a8f7d1cb3daf759c7b37d6657d2540df92bd,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,133778418,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0010|ConsensusExact|step3|attempt_1,G-e461c70bfe81555f9e8a566e75e0f7185c84ddee,G,target,LP0010,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,00f16e507048ed95a87e6d870096961f9fb1c6c328584465ccd8df82fddd281e,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1195697018,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0011|ConsensusExact|step3|attempt_1,G-e1ae67e5810070f9937e3cb2753f8b20ac6a36f3,G,target,LP0011,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,1f2914f2dd2f56b76d87df66571d2060cb0373ea4712eb37f066ad133b5df71a,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1146962119,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0012|ConsensusExact|step3|attempt_1,G-9938f35f97b9ee671d827e2dff3cd873f92a4f0d,G,target,LP0012,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,6ce683ba763dfb30522247f22b552bdba77112f7760649ce2aae4ed9dd9d047b,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,1244386600,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0013|ConsensusExact|step3|attempt_1,G-8c1a6beee76e84618191d7e53c1542f9a4cdb409,G,target,LP0013,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,d4afbdba8fc7b656bd29f336d196527d061d1ca46d770229e10859ebc9557eae,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,2141412416,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0014|ConsensusExact|step3|attempt_1,G-8e1ddae8e7a00bd1d4d6896e803ccfbbf549092e,G,target,LP0014,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,90b19381760c4eb92e2368d11a38a7ca01ba597d2a42ea6bd18d11e2afed994b,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,64733605,pending,Q001,"{""Q001"": ""consensus_estimate_human_primary_cause""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0015|ConsensusExact|step3|attempt_1,G-98f896b4890c22cbb22ce7a29a38d80ab4f28310,G,target,LP0015,Consensus,consensus_exact_step3_estimate,1,google/gemma-4-31B-it,14c4b33312afc090bb9083e9aef4cc809cd0d01f7963a0e0f12d882f7ba76eca,ec9f25e6b68d12ca6182161cdc389e0da99a8cff29c47b015f1d07a6633e4cf0,consensus_benchmark_exact_v1,prompt_compiler_v2_split_g_f,989679670,pending,Q001,"{""Q001"": ""consensus_estimate_co2_warms_planet""}",consensus_exact_step3,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
