request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0301|control|trust_multidimensional|replicate_1,F-1b8d6067224a432376e67b0e9bd66bd0cc5af8f3,F,target,F0301,control,trust_multidimensional,1,google/gemma-4-31B-it,ed8358f15b1894ad94d3b255180e7e55bc5d7d9ddc42a4eaedab586d697767f1,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1499792369,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0301|control|trust_post|replicate_1,F-e3f440bfba8a91cf138990e3fff8bdb02076238f,F,target,F0301,control,trust_post,1,google/gemma-4-31B-it,1750b91fc787d7d9f2b20e118ad666a4aa15e068a769a7ef78726f62f0388a44,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,41096018,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0301|control|distrust_post|replicate_1,F-d5c348dc88dcba044800fbb14e587e79d6d50b00,F,target,F0301,control,distrust_post,1,google/gemma-4-31B-it,3ca419b535632f897c28c599768ea9d3c4eddf31d23086106378ba8fa7d4936b,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,878922688,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0301|control|funding_perceptions|replicate_1,F-7b8b89a43aea5650cecbfea64b4e84a800460425,F,target,F0301,control,funding_perceptions,1,google/gemma-4-31B-it,0b5695dc041e17912ef682cbd78f05a4f71933e85cbadf91b23e5a2577a7b0a3,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,838953370,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0301|control|policy_role_mean|replicate_1,F-5fd21669e09c51413886bf72620352e3ae7d8a81,F,target,F0301,control,policy_role_mean,1,google/gemma-4-31B-it,90b677e8ffa556d6069ba11cb059d94bbe7a2a450f03f22db36405248e571cdd,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,541097494,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0301|control|inst_trust_mean|replicate_1,F-0b3ec531b2138e77d9d7603d215fde07a1b96f01,F,target,F0301,control,inst_trust_mean,1,google/gemma-4-31B-it,7df9d5efeb465ddabdf7919c50ddb1991eb83220e28384180b3d159446234d6e,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1217468634,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0301|control|belief_post|replicate_1,F-20e89e1148f0dc6fa8274504e0f3c3506b0fe91e,F,target,F0301,control,belief_post,1,google/gemma-4-31B-it,dca04fe449eceb14a77b509769a45a1a34fbf212f109b71134c5fc4abab172b9,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,180492434,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0301|control|concern_mean|replicate_1,F-404fd93a80158fee5dc2280bc6d83a3f228621bc,F,target,F0301,control,concern_mean,1,google/gemma-4-31B-it,391aaded442b819da84dd171162b8238f2489b44d848e655310fe3ef5c3f6a28,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,11879012,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0301|control|policy_general|replicate_1,F-2307738aa45bad7c2e638c09bb981ff35b771ce4,F,target,F0301,control,policy_general,1,google/gemma-4-31B-it,9eab0cc920ae342619f406fcd9dfc794c311c567b2078ab3599b48d809420ef8,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1785369745,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0301|control|policy_specific_mean|replicate_1,F-bf9f37e3dc7dc7f3ed818918eb9fefa68267206b,F,target,F0301,control,policy_specific_mean,1,google/gemma-4-31B-it,5a962c084245689305ffd7c5222abbac869fcc65fa67e17d0295f10df5102d34,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1539061693,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
