study_id,effect_id,target_population,population_type,population_matching_method,profile_fields_available,weights_used,num_profiles,f_model_id,f_prompt_protocol_id,f_inference_config_hash,f_r_f,external_f_population_panel_version,external_f_population_panel_sha256,synthetic_prediction_status,requires_synthetic_regeneration,outcome_name,outcome_type,outcome_range,human_ate_native,synthetic_ate_native,human_effect_pp,synthetic_effect_pp,included_primary_calibration,included_secondary_sensitivity,exclusion_reason
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,blue_collar_positivity,attitude,4.0,-0.15224867724867996,-0.04499999999999993,-3.806216931216999,-1.1249999999999982,True,False,
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,AnsonBRIEF60 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,economy_positivity,attitude,4.0,0.011984126984129873,0.8333333333333397,0.2996031746032468,20.833333333333492,True,False,
Blair1131,Blair1131:Approve_Handling:hyp1,Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,Approve_Handling [hyp1],attitude,6.0,-0.19047619047619113,0.13250000000000028,-3.1746031746031855,2.208333333333337,True,False,
Blair1131,Blair1131:Approve_Handling:hyp2,Blair1131 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,Approve_Handling [hyp2],attitude,6.0,0.16723356009070667,0.09500000000000064,2.787226001511778,1.5833333333333477,True,False,
Braman751,Braman751:legitimacy:hyp1,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,legitimacy [hyp1],attitude,6.0,0.24533102134795737,-0.39208333333333023,4.0888503557992895,-6.534722222222166,True,False,
Braman751,Braman751:legitimacy:hyp2,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,legitimacy [hyp2],attitude,6.0,0.5802738233090365,-1.0487500000000005,9.671230388483941,-17.479166666666675,True,False,
Braman751,Braman751:pass_legislation:hyp1,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,pass_legislation,attitude,5.0,0.2200121469784424,0.17900000000000205,4.400242939568855,3.5800000000000445,True,False,
Braman751,Braman751:scholar_credibility:hyp1,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,scholar_credibility [hyp1],binary_behavior,1.0,0.037608225108223925,0.054166666666667806,3.7608225108223925,5.416666666666781,True,False,
Braman751,Braman751:scholar_credibility:hyp2,Braman751 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,scholar_credibility [hyp2],binary_behavior,1.0,0.08059764309764295,0.0033333333333351867,8.059764309764294,0.33333333333351867,True,False,
CalarcoS38,CalarcoS38:Approval:hyp1,CalarcoS38 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,Approval [hyp1],attitude,4.0,2.08955621301775,-3.321458333333336,52.23890532544375,-83.0364583333334,True,False,
CalarcoS38,CalarcoS38:Approval:hyp2,CalarcoS38 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,Approval [hyp2],attitude,4.0,1.768205128205126,-2.6754166666666688,44.205128205128155,-66.88541666666671,True,False,
CalarcoS38,CalarcoS38:Approval:hyp3,CalarcoS38 effect-specific empirical human analytic respondent pretreatment demographic distribution (unweighted),general_us_adult,study_effect_analytic_profile_distribution_unweighted_largest_remainder,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,False,500,LEGACY_CACHED_NO_F_MODEL_PROVENANCE,LEGACY_CACHED_NO_F_PROMPT_PROTOCOL_PROVENANCE,LEGACY_CACHED_NO_F_INFERENCE_CONFIG_HASH,,LEGACY_CACHED_NO_EFFECT_SPECIFIC_PANEL_PROVENANCE,,,,Approval [hyp3],attitude,4.0,-0.06682068597831936,-0.21500000000000563,-1.670517149457984,-5.37500000000014,True,False,
