request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0063|High public trust|trust_multidimensional|replicate_1,F-ef48e6a6298c01e1b18646c54bf502ff6a8a6675,F,target,F0063,High public trust,trust_multidimensional,1,google/gemma-4-31B-it,b12b271a9dc5ca2c9498f38e092496412503df93d6dbc16cef9708f3ebcbd58c,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,136171313,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0063|High public trust|trust_post|replicate_1,F-60f44f94fe66399d5a39a5e01b3abd685c91e3c1,F,target,F0063,High public trust,trust_post,1,google/gemma-4-31B-it,34dd3615d3f9a03de70462575a056921ef2f320597403762d2e5974f1bbc5875,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1078909128,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0063|High public trust|distrust_post|replicate_1,F-49b9487ce60930b66f08522d2b3293629c56a33f,F,target,F0063,High public trust,distrust_post,1,google/gemma-4-31B-it,0e96cb25112a5b594f9c0d3526671f0e9cc004ed285f853365f9786621019187,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,2038153648,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0063|High public trust|funding_perceptions|replicate_1,F-2d7fd1282dfc318200525bdc0d53c6e8619e5314,F,target,F0063,High public trust,funding_perceptions,1,google/gemma-4-31B-it,0aa569004499089023046cde52a870c4209535013a1e5ed2b6eab211ec8956ba,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,150721491,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0063|High public trust|policy_role_mean|replicate_1,F-4130782a032e6c13261e700813f800eed519139b,F,target,F0063,High public trust,policy_role_mean,1,google/gemma-4-31B-it,73bc532423a66ed1d5f2d0c748119f8906a27b98a36de632fcb9b352b9632ab1,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,93281384,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0063|High public trust|inst_trust_mean|replicate_1,F-7821acdf2d7e378c8b0f436b970287ef7b074cfd,F,target,F0063,High public trust,inst_trust_mean,1,google/gemma-4-31B-it,3fd39873e477ddc78f04a0bf4ab2870a429932280ca50b70cb62b767aca2ba94,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,499224908,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0063|High public trust|belief_post|replicate_1,F-6bafdfbaabb59948bcd4eebd85eb70702943a40a,F,target,F0063,High public trust,belief_post,1,google/gemma-4-31B-it,ff0d49d62c07f55b7dc9bd4a7a614b30d24725efc5be31fda0a4ac9446dffef5,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,51730623,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0063|High public trust|concern_mean|replicate_1,F-d3ab9ad04564bef2174037494e17f918e5d867c4,F,target,F0063,High public trust,concern_mean,1,google/gemma-4-31B-it,38caf092a4677c69f0b25484a46704b970bb475672fb631647073adb47013c8d,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1824257173,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0063|High public trust|policy_general|replicate_1,F-03d9d39a2808496c111d95092a191f9ebb2aa856,F,target,F0063,High public trust,policy_general,1,google/gemma-4-31B-it,74140116a8ac6bb3bd43a999aac5ed373ec0f1ef12283a3512e10a95db6562d2,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,800845984,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0063|High public trust|policy_specific_mean|replicate_1,F-38f6626390e4b524e9812e88f0b87f7b3167bd46,F,target,F0063,High public trust,policy_specific_mean,1,google/gemma-4-31B-it,8ccc4c33a0d79cdf2c53ebbd3702707668371aba0ae2dea1f52c44742302d872,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,47282668,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
