study_id,effect_id,human_control,human_treatment,synthetic_control,synthetic_treatment,human_formula,synthetic_formula,human_ate_native_archive,synthetic_ate_native_archive,human_ate_native_recomputed,synthetic_ate_native_recomputed,raw_outcome_direction,reverse_coding_applied_human,reverse_coding_applied_synthetic,double_reversal_detected,outcome_range,merge_key_match,orientation_match,status
AnsonBRIEF60,AnsonBRIEF60:blue_collar_positivity:hyp1,3.475,3.32275132275132,2.92833333333333,2.88333333333333,human_treatment - human_control,synthetic_treatment - synthetic_control,-0.1522486772486799,-0.0449999999999999,-0.15224867724867996,-0.04499999999999993,higher_native_value_is_higher_construct,False,False,False,4.0,True,True,PASS
AnsonBRIEF60,AnsonBRIEF60:economy_positivity:hyp1,3.115,3.12698412698413,3.15833333333333,3.99166666666667,human_treatment - human_control,synthetic_treatment - synthetic_control,0.0119841269841298,0.8333333333333397,0.011984126984129873,0.8333333333333397,higher_native_value_is_higher_construct,False,False,False,4.0,True,True,PASS
Blair1131,Blair1131:Approve_Handling:hyp1,2.867724867724869,2.6772486772486777,2.1291666666666647,2.261666666666665,human_treatment - human_control,synthetic_treatment - synthetic_control,-0.1904761904761911,0.1325000000000002,-0.19047619047619113,0.13250000000000028,higher_native_value_is_higher_construct,False,False,False,6.0,True,True,PASS
Blair1131,Blair1131:Approve_Handling:hyp2,4.229591836734691,4.396825396825398,4.7083333333333295,4.80333333333333,human_treatment - human_control,synthetic_treatment - synthetic_control,0.1672335600907066,0.0950000000000006,0.16723356009070667,0.09500000000000064,higher_native_value_is_higher_construct,False,False,False,6.0,True,True,PASS
Braman751,Braman751:legitimacy:hyp1,3.2310469314079446,3.476377952755902,4.328749999999998,3.9366666666666674,human_treatment - human_control,synthetic_treatment - synthetic_control,0.2453310213479573,-0.3920833333333302,0.24533102134795737,-0.39208333333333023,higher_native_value_is_higher_construct,False,False,False,6.0,True,True,PASS
Braman751,Braman751:legitimacy:hyp2,3.2310469314079446,3.811320754716981,4.328749999999998,3.279999999999997,human_treatment - human_control,synthetic_treatment - synthetic_control,0.5802738233090365,-1.0487500000000003,0.5802738233090365,-1.0487500000000005,higher_native_value_is_higher_construct,False,False,False,6.0,True,True,PASS
Braman751,Braman751:pass_legislation:hyp1,3.685393258426964,3.9054054054054066,3.050999999999998,3.23,human_treatment - human_control,synthetic_treatment - synthetic_control,0.2200121469784424,0.179000000000002,0.2200121469784424,0.17900000000000205,higher_native_value_is_higher_construct,False,False,False,5.0,True,True,PASS
Braman751,Braman751:scholar_credibility:hyp1,1.2897727272727266,1.3273809523809506,1.8612499999999998,1.9154166666666674,human_treatment - human_control,synthetic_treatment - synthetic_control,0.0376082251082239,0.0541666666666678,0.037608225108223925,0.054166666666667584,higher_native_value_is_higher_construct,False,False,False,1.0,True,True,PASS
Braman751,Braman751:scholar_credibility:hyp2,1.2897727272727266,1.3703703703703696,1.8612499999999998,1.8645833333333353,human_treatment - human_control,synthetic_treatment - synthetic_control,0.0805976430976429,0.0033333333333351,0.08059764309764295,0.0033333333333354087,higher_native_value_is_higher_construct,False,False,False,1.0,True,True,PASS
CalarcoS38,CalarcoS38:Approval:hyp1,1.49846153846154,3.58801775147929,4.974583333333334,1.653125,human_treatment - human_control,synthetic_treatment - synthetic_control,2.08955621301775,-3.321458333333336,2.08955621301775,-3.321458333333334,higher_native_value_is_higher_construct,False,False,False,4.0,True,True,PASS
CalarcoS38,CalarcoS38:Approval:hyp2,1.49846153846154,3.2666666666666666,4.974583333333334,2.2991666666666672,human_treatment - human_control,synthetic_treatment - synthetic_control,1.768205128205126,-2.6754166666666688,1.7682051282051265,-2.675416666666667,higher_native_value_is_higher_construct,False,False,False,4.0,True,True,PASS
