request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0376|control|trust_multidimensional|replicate_1,F-a23a7584abdd586cfdb89eae15874b3e23502e05,F,target,F0376,control,trust_multidimensional,1,google/gemma-4-31B-it,5080d1a222ba9cdbeb5df12811bf77a0d3689b6e13ede468e8784922da716599,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1884439415,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0376|control|trust_post|replicate_1,F-23ae6e791b971a3d9605215bdb967d0331493e07,F,target,F0376,control,trust_post,1,google/gemma-4-31B-it,b6e8ab98c8434fae3ec5721c8f8c53fa552b62c57dbea148c4e3e32030d4ab78,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1660155695,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0376|control|distrust_post|replicate_1,F-d1d232d8b47f746c8e93fbe2947c455315fc4b9a,F,target,F0376,control,distrust_post,1,google/gemma-4-31B-it,a1faca3c6aa45963e2523a652bcc37a1e76813c1bec8fad22b9303953c0d534e,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1478744608,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0376|control|funding_perceptions|replicate_1,F-bd3a2783c96a43b38e5005586ab9061a49c1b6c7,F,target,F0376,control,funding_perceptions,1,google/gemma-4-31B-it,371c882ca8a02933888e9d436873aaa952460d7b8b6e3126faa67496bb49ec24,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1138660029,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0376|control|policy_role_mean|replicate_1,F-13da8229946825be82130a4899a326ce8aa46498,F,target,F0376,control,policy_role_mean,1,google/gemma-4-31B-it,0a74e7f15d6a658ef1cc9329602598aa5e987428920882b8a944c6675efa2086,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1008544273,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0376|control|inst_trust_mean|replicate_1,F-b3458ef584566a0e6a2220527d25e7e39866a589,F,target,F0376,control,inst_trust_mean,1,google/gemma-4-31B-it,1a78816a5ae82e882f28ffbbbfda95b1486f9721bcc09d39f427ca0e2984cd5d,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1793165307,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0376|control|belief_post|replicate_1,F-c175354fdde66e29de844ba4436c1f527560e7b8,F,target,F0376,control,belief_post,1,google/gemma-4-31B-it,cda126a4a64fb6af3bdf66339ee00453af81c3b83586e802e23e3603ed79780c,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1624299723,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0376|control|concern_mean|replicate_1,F-1efb52e8a1106022fce13ef03416af8286a972bf,F,target,F0376,control,concern_mean,1,google/gemma-4-31B-it,62ac32ef59a62cb133fe7c49ec1d2a2162da6421cb3086e1d8793e676476becf,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1594295795,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0376|control|policy_general|replicate_1,F-4bd2fb86dd9933b513b0db1a6348aa1da614657a,F,target,F0376,control,policy_general,1,google/gemma-4-31B-it,390966e3d4c5663702d27d908b2ac5a89b7a226eff248987611b6d4f0340960a,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1967073987,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0376|control|policy_specific_mean|replicate_1,F-e5f1d4aae694d53dae231bf6f6a78e1ddf943598,F,target,F0376,control,policy_specific_mean,1,google/gemma-4-31B-it,971eb6022e6cc4fa35d5faed8c4a677a35f9021b11e61183a3bc8c822b14e5dc,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,846757526,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
