request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0451|control|trust_multidimensional|replicate_1,F-bc9fd29743ece7b717a83076a24345ec231789ec,F,target,F0451,control,trust_multidimensional,1,google/gemma-4-31B-it,39de1202b172802feab576eea1ae233a0d608370fbbc4b995a4302f14eb73842,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1026329832,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0451|control|trust_post|replicate_1,F-48fcd690f8c9172419e3da4bacea4d7ed73521de,F,target,F0451,control,trust_post,1,google/gemma-4-31B-it,3e402485104ba9785f891b32f8d58bed512ff90cca850d2114c6140fb87f596c,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,180536391,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0451|control|distrust_post|replicate_1,F-9209eeba80dcddbe6a02963477a80f486bc3235d,F,target,F0451,control,distrust_post,1,google/gemma-4-31B-it,14ca2ee2fdf90257a57c9d656773d7e0b6dcc0b0c3a76a3aa66e4cb9375e401b,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,619756341,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0451|control|funding_perceptions|replicate_1,F-5f0ffefae58cf7fb02fd40ee9f5c489803eb16e1,F,target,F0451,control,funding_perceptions,1,google/gemma-4-31B-it,3cf598cd554dd735fd9df2f19922ac163c1b30f865a09ddb1e717833520d045b,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,598537714,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0451|control|policy_role_mean|replicate_1,F-786f6bdc8fd7a5dcd96e1974d07e41177e42a331,F,target,F0451,control,policy_role_mean,1,google/gemma-4-31B-it,9206eab9f4ec3789316f1dd93b49217a70ca0c489add05b9b59b7c19ba99ab98,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,11959703,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0451|control|inst_trust_mean|replicate_1,F-d1861cab416f6a977c83de750e7379874340673a,F,target,F0451,control,inst_trust_mean,1,google/gemma-4-31B-it,266206cf0ac6e78589a2f7f8ddd3bf46aafc475dc06948b5a9d2109f71831bd7,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1685824496,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0451|control|belief_post|replicate_1,F-226b20f642e65e47e8e0d11be50f5f8c90263540,F,target,F0451,control,belief_post,1,google/gemma-4-31B-it,94dfc93f60f4425c322f692756d17577897d8e0f50f7f3a35ef40542ea62f198,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,129802292,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0451|control|concern_mean|replicate_1,F-31c4fe2b5745df02abf6b9cb46e8db88273b5c0a,F,target,F0451,control,concern_mean,1,google/gemma-4-31B-it,781e9cbe1e695d654b7758f41a4d7160c9a6e1f4f6fba95e9a39a87f3a9d8a2f,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,986700633,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0451|control|policy_general|replicate_1,F-ddc3c08f17e6a621742bf55432a3ed4a01a388f7,F,target,F0451,control,policy_general,1,google/gemma-4-31B-it,f182f5ffebae8c3b1c521b3a417ce45025faa819e9092bcffd9fe790f1f7111f,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1399727938,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0451|control|policy_specific_mean|replicate_1,F-b010a3900c4f0662ec25a39fb9492efff42a3b44,F,target,F0451,control,policy_specific_mean,1,google/gemma-4-31B-it,7136551bee355bf8f2404586c53cd1922f97dd0d35598718f5ee4a524f344815,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1819299204,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
