latent_profile_id,donor_id,SERIALNO,SPORDER,gender,age,year_birth,age_band,race,education,income,income_adjusted_2024,state_fips,state_abbr,party,party_prob_republican,party_prob_democrat,party_prob_independent,party_prob_other,pums_person_weight,joint_cell_target_n,population_seed,party_seed
LP0001,2024HU0048084-01,2024HU0048084,01,Male,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",7106.75,16,ID,Independent,0.3037280645596591,0.14541062077260156,0.41778900880953157,0.13307230585820776,96,53,20260831,1
LP0002,2024HU0053573-01,2024HU0053573,01,Male,28,1998,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",73098.0,22,LA,Democrat,0.4737153110383174,0.16030807831284616,0.28856416449043537,0.07741244615840114,70,53,20260831,1
LP0003,2024HU0096851-01,2024HU0096851,01,Male,25,2001,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",30051.4,42,PA,Independent,0.17804858857777597,0.4019928556244033,0.2970503603973222,0.12290819540049858,66,53,20260831,1
LP0004,2024HU0198828-04,2024HU0198828,04,Male,18,2008,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",131373.35,13,GA,Democrat,0.443114833740153,0.15411729705275043,0.30345349827908297,0.09931437092801361,56,53,20260831,1
LP0005,2024HU0215104-01,2024HU0215104,01,Male,26,2000,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",118784.25,12,FL,Democrat,0.2803089414823445,0.3218361430214916,0.3361499334305667,0.06170498206559716,104,53,20260831,1
LP0006,2024HU0252863-03,2024HU0252863,03,Male,26,2000,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",81220.0,12,FL,Republican,0.38951504172394347,0.2088387503179948,0.31570975881190994,0.08593644914615177,66,53,20260831,1
LP0007,2024HU0279823-05,2024HU0279823,05,Male,18,2008,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",121830.0,53,WA,Independent,0.20406171896758973,0.24773176421076343,0.34182783786858395,0.20637867895306292,303,53,20260831,1
LP0008,2024HU0296311-01,2024HU0296311,01,Male,23,2003,18-29,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",48275.1375,22,LA,Republican,0.2975396906805704,0.26127132193241526,0.3793252546498603,0.06186373273715404,161,53,20260831,1
LP0009,2024HU0327663-03,2024HU0327663,03,Male,24,2002,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",207141.4575,48,TX,Republican,0.349548262664602,0.24281949851646348,0.32126247344436043,0.08636976537457401,172,53,20260831,1
LP0010,2024HU0381506-08,2024HU0381506,08,Male,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",190968.525,06,CA,Democrat,0.2516074452827795,0.3394800365211418,0.34101966641127396,0.06789285178480457,436,53,20260831,1
